[18:47:34] Round 01 | loss=2.1882 | acc=19.90%
[18:53:50] Round 02 | loss=2.2143 | acc=12.31%
[19:00:13] Round 03 | loss=2.1755 | acc=17.95%
[19:07:34] Round 04 | loss=2.1374 | acc=16.98%
[19:14:55] Round 05 | loss=2.1244 | acc=15.79%
[19:45:19] Round 06 | loss=2.1129 | acc=14.20%
[19:52:49] Round 07 | loss=2.1171 | acc=14.44%
[20:00:37] Round 08 | loss=2.0754 | acc=13.95%
[20:08:24] Round 09 | loss=2.0695 | acc=15.65%
[20:16:15] Round 10 | loss=2.0934 | acc=15.23%
[20:24:06] Round 11 | loss=2.0642 | acc=21.41%
[20:31:38] Round 12 | loss=2.0794 | acc=19.95%
[20:39:17] Round 13 | loss=2.0631 | acc=23.24%
[20:46:50] Round 14 | loss=2.0521 | acc=21.34%
[20:54:06] Round 15 | loss=2.0481 | acc=21.95%
[21:01:25] Round 16 | loss=2.0472 | acc=24.30%
[21:08:42] Round 17 | loss=2.0458 | acc=21.46%
[21:15:19] Round 18 | loss=2.0017 | acc=24.36%
[21:21:28] Round 19 | loss=2.0195 | acc=25.48%
[21:27:36] Round 20 | loss=1.9908 | acc=23.63%
[22:59:03] Round 01 | loss=2.2608 | acc=13.47%
[23:05:40] Round 02 | loss=2.2303 | acc=10.21%
[23:12:01] Round 03 | loss=2.2129 | acc=10.00%
[23:18:25] Round 04 | loss=2.0871 | acc=11.98%
[23:24:26] Round 05 | loss=2.0599 | acc=10.53%
[23:31:34] Round 06 | loss=2.0498 | acc=10.97%
[23:38:45] Round 07 | loss=2.0642 | acc=10.04%
[23:52:27] Round 01 | loss=2.2608 | acc=13.47%
[00:08:29] Round 01 | loss=2.2608 | acc=13.47%
[00:15:57] Round 02 | loss=2.2303 | acc=10.21%
[00:23:26] Round 03 | loss=2.2129 | acc=10.00%
[00:30:55] Round 04 | loss=2.0871 | acc=11.98%
[00:38:15] Round 05 | loss=2.0599 | acc=10.53%
[00:45:37] Round 06 | loss=2.0498 | acc=10.97%
[00:52:59] Round 07 | loss=2.0642 | acc=10.04%
[00:59:33] Round 08 | loss=2.0540 | acc=15.06%
[01:05:44] Round 09 | loss=2.0376 | acc=13.98%
[01:12:01] Round 10 | loss=2.0141 | acc=17.07%
[01:18:15] Round 11 | loss=2.0004 | acc=16.66%
[01:24:16] Round 12 | loss=1.9755 | acc=14.32%
[01:30:19] Round 13 | loss=2.0141 | acc=12.78%
[01:36:21] Round 14 | loss=2.0038 | acc=18.08%
[01:42:23] Round 15 | loss=1.9466 | acc=17.35%
[01:48:23] Round 16 | loss=1.9776 | acc=13.63%
[01:54:25] Round 17 | loss=2.0052 | acc=11.71%
[02:00:29] Round 18 | loss=1.9657 | acc=12.77%
[02:06:31] Round 19 | loss=1.9682 | acc=16.70%
[02:13:52] Round 20 | loss=1.9908 | acc=15.53%
[02:21:02] Round 21 | loss=1.9845 | acc=10.27%
[02:27:52] Round 22 | loss=1.9697 | acc=15.92%
[04:13:06] Round 23 | loss=1.9810 | acc=10.15%
[04:19:11] Round 24 | loss=1.9674 | acc=14.88%
[04:25:13] Round 25 | loss=1.9965 | acc=12.01%
[04:31:15] Round 26 | loss=1.9609 | acc=16.84%
[04:37:19] Round 27 | loss=1.9431 | acc=17.93%
[04:43:24] Round 28 | loss=1.9298 | acc=12.17%
[04:49:27] Round 29 | loss=1.9339 | acc=20.35%
[04:55:32] Round 30 | loss=1.9345 | acc=17.67%
[21:36:16] Round 01 | loss=0.9202 | acc=86.03%
[21:40:49] Round 02 | loss=0.2742 | acc=90.23%
[21:45:22] Round 03 | loss=0.2510 | acc=91.01%
[21:50:03] Round 04 | loss=0.2375 | acc=91.63%
[21:53:43] Round 05 | loss=0.2343 | acc=92.13%
[21:57:37] Round 06 | loss=0.2400 | acc=92.39%
[22:01:24] Round 07 | loss=0.2338 | acc=92.43%
[22:05:26] Round 08 | loss=0.2502 | acc=92.21%
[22:09:33] Round 09 | loss=0.2489 | acc=92.40%
[22:13:24] Round 10 | loss=0.2707 | acc=92.28%
[22:17:27] Round 11 | loss=0.2651 | acc=92.30%
[22:21:11] Round 12 | loss=0.2724 | acc=92.42%
[22:24:59] Round 13 | loss=0.2678 | acc=92.55%
[22:28:44] Round 14 | loss=0.2801 | acc=92.45%
[22:32:29] Round 15 | loss=0.2863 | acc=92.42%
[22:36:24] Round 16 | loss=0.2991 | acc=92.33%
[22:40:28] Round 17 | loss=0.2976 | acc=92.34%
[22:44:31] Round 18 | loss=0.3116 | acc=92.02%
[22:48:35] Round 19 | loss=0.3079 | acc=92.03%
[22:52:46] Round 20 | loss=0.3117 | acc=92.15%
[09:18:55] Round 01 | loss=2.2178 | acc=10.83%
[09:23:17] Round 02 | loss=1.8816 | acc=17.26%
[09:27:38] Round 03 | loss=1.7955 | acc=21.77%
[09:32:34] Round 04 | loss=1.7779 | acc=26.12%
[09:37:59] Round 05 | loss=1.5633 | acc=48.05%
[09:43:32] Round 06 | loss=1.6852 | acc=38.77%
[09:48:39] Round 07 | loss=1.3831 | acc=42.94%
[09:53:25] Round 08 | loss=1.3684 | acc=50.41%
[09:58:12] Round 09 | loss=1.3120 | acc=49.50%
[10:02:57] Round 10 | loss=1.2832 | acc=51.05%
[10:07:19] Round 11 | loss=1.1637 | acc=59.13%
[10:11:02] Round 12 | loss=1.2319 | acc=50.94%
[10:15:04] Round 13 | loss=1.2790 | acc=42.42%
[10:19:06] Round 14 | loss=1.1366 | acc=59.14%
[10:22:57] Round 15 | loss=1.1494 | acc=59.69%
[10:26:57] Round 16 | loss=1.2646 | acc=46.94%
[10:30:51] Round 17 | loss=1.0892 | acc=64.81%
[10:34:30] Round 18 | loss=1.1727 | acc=59.86%
[10:38:24] Round 19 | loss=1.1920 | acc=55.92%
[10:41:51] Round 20 | loss=1.2496 | acc=59.77%
[11:25:24] Round 01 | loss=3.2005 | acc=14.07%
[11:29:15] Round 02 | loss=20.9910 | acc=12.42%
[11:33:06] Round 03 | loss=1.8869 | acc=15.47%
[11:36:54] Round 04 | loss=1.7533 | acc=20.26%
[11:40:44] Round 05 | loss=1.5620 | acc=29.98%
[11:44:35] Round 06 | loss=1.5081 | acc=35.08%
[11:48:26] Round 07 | loss=1.4167 | acc=38.29%
[11:52:20] Round 08 | loss=1.4045 | acc=39.52%
[11:56:15] Round 09 | loss=1.6577 | acc=33.14%
[12:00:14] Round 10 | loss=1.5355 | acc=40.68%
[12:04:12] Round 11 | loss=1.2990 | acc=48.58%
[12:08:04] Round 12 | loss=1.3261 | acc=46.31%
[12:11:55] Round 13 | loss=1.4350 | acc=38.40%
[12:15:50] Round 14 | loss=1.4614 | acc=36.20%
[12:19:42] Round 15 | loss=1.5378 | acc=37.26%
[12:23:32] Round 16 | loss=1.5823 | acc=40.52%
[12:27:23] Round 17 | loss=1.3475 | acc=47.36%
[12:31:28] Round 18 | loss=1.5612 | acc=40.99%
[12:35:06] Round 19 | loss=1.3999 | acc=44.11%
[12:38:55] Round 20 | loss=1.3213 | acc=49.43%
[14:36:35] Round 01 | loss=2.2969 | acc=11.05%
[14:42:16] Round 02 | loss=2.2469 | acc=20.34%
[14:48:18] Round 03 | loss=2.1641 | acc=28.87%
[14:53:24] Round 04 | loss=2.0961 | acc=27.36%
[14:58:11] Round 05 | loss=2.0304 | acc=33.75%
[15:02:56] Round 06 | loss=2.0087 | acc=31.45%
[15:07:39] Round 07 | loss=1.9521 | acc=28.32%
[15:12:31] Round 08 | loss=1.8955 | acc=32.48%
[15:17:15] Round 09 | loss=1.8999 | acc=33.92%
[15:22:03] Round 10 | loss=1.8326 | acc=34.22%
[15:26:45] Round 11 | loss=1.8641 | acc=33.57%
[15:31:29] Round 12 | loss=1.8481 | acc=33.18%
[15:36:22] Round 13 | loss=1.8625 | acc=34.83%
[15:41:04] Round 14 | loss=1.8467 | acc=35.33%
[15:45:52] Round 15 | loss=1.8381 | acc=33.38%
[15:50:37] Round 16 | loss=1.8220 | acc=34.82%
[15:55:27] Round 17 | loss=1.8353 | acc=35.16%
[16:00:12] Round 18 | loss=1.8357 | acc=34.75%
[16:05:01] Round 19 | loss=1.7726 | acc=37.29%
[16:09:44] Round 20 | loss=1.8284 | acc=36.79%
[17:18:30] Round 01 | loss=2.2952 | acc=11.34%
[17:24:26] Round 02 | loss=2.2312 | acc=22.12%
[17:30:42] Round 03 | loss=2.1519 | acc=31.02%
[17:38:19] Round 04 | loss=2.0495 | acc=35.31%
[17:44:14] Round 05 | loss=2.0148 | acc=35.26%
[17:49:19] Round 06 | loss=1.9359 | acc=37.32%
[17:54:34] Round 07 | loss=1.8808 | acc=37.13%
[17:59:43] Round 08 | loss=1.8676 | acc=38.80%
[18:04:40] Round 09 | loss=1.8028 | acc=41.60%
[18:09:44] Round 10 | loss=1.7404 | acc=42.14%
[18:14:37] Round 11 | loss=1.7223 | acc=42.13%
[18:19:30] Round 12 | loss=1.7273 | acc=41.98%
[18:24:23] Round 13 | loss=1.7199 | acc=41.01%
[18:29:18] Round 14 | loss=1.7043 | acc=40.88%
[18:34:16] Round 15 | loss=1.7155 | acc=40.32%
[18:39:15] Round 16 | loss=1.7009 | acc=40.89%
